ID;Straftat;Anzahl erfasster Fälle;erfasste Fälle, davon Versuche;mit Schusswaffe gedroht;mit Schusswaffe geschossen;Anzahl aufgeklärter Fälle;Aufklärungsqoute;Tatverdächtige insgesamt;Tatverdächtige, davon männlich;Tatverdächtige, davon weiblich
1;rape, sexual assault and sexual attack;15;3;0;0;12;80;16;16;0
2;robbery and predatory attack;651;102;13;2;303;46,5;443;402;41
3;assault;3.238;266;1;9;2.630;81,2;2.642;2.334;308
4;theft;25.556;3.977;0;0;7.679;30;4.495;3.318;1.177
5;fraud;11.324;707;0;0;9.819;86,7;6.215;4.373;1.842
6;damage to property;4.844;55;0;15;1.175;24,3;934;816;118
7;drug offences;1.941;38;0;0;1.801;92,8;1.594;1.364;230
8;homicide and manslaughter;13;9;0;0;11;84,6;13;11;2
9;cybercrime;836;157;0;0;451;53,9;326;256;70
10;street crimes;10.768;814;1;9;2.035;18,9;1.745;1.564;181
