Stadtteil (zusammengefasst);Fälle erfasst;Fälle aufgeklärt;Tatverdächtige insgesamt
01 Innere Altstadt;1858;1180;988
02 Pirnaische Vorstadt;672;359;378
03 Seevorstadt-Ost;3607;2632;2073
04 Wilsdruffer Vs./Seevs.-West;1425;742;631
05 Friedrichstadt;2541;1569;1391
06 Johannstadt-Nord;994;375;332
07 Johannstadt-Süd;883;413;365
11 Äußere Neustadt (Antonstadt);3065;1546;1166
12 Radeberger Vorstadt;568;253;214
13 Innere Neustadt;1475;798;651
14 Leipziger Vorstadt;1367;605;549
15 Albertstadt;528;344;328
21 Pieschen-Süd;960;483;410
22 Mickten;862;536;459
23 Kaditz;623;364;364
24 Trachau;591;274;241
25 Pieschen-N/Trachenberge;773;422;378
31 Klotzsche;689;418;370
32 Hellerau/Wilschdorf;160;72;81
35 Weixdorf;157;72;68
36 Langebrück/Schönborn;62;39;38
41 Loschwitz/Wachwitz;280;107;95
42 Bühlau/Weißer Hirsch;324;146;143
43 Hosterwitz/Pillnitz;76;34;37
45 Weißig;193;103;95
46 Gönnsdorf/Pappritz;56;30;24
47 Schönfeld/Schullwitz;44;27;22
51 Blasewitz;584;273;225
52 Striesen-Ost;504;263;211
53 Striesen-Süd;628;278;249
54 Striesen-West;560;237;200
55 Tolkewitz/Seidnitz-Nord;197;47;38
56 Seidnitz/Dobritz;1053;584;514
57 Gruna;479;230;202
61 Leuben;880;498;466
62 Laubegast;432;193;183
63 Kleinzschachwitz;190;66;68
64 Großzschachwitz;323;151;136
71 Prohlis-Nord;686;429;333
72 Prohlis-Süd;640;410;300
73 Niedersedlitz;282;127;118
74 Lockwitz;512;305;265
75 Leubnitz-Neuostra;417;222;190
76 Strehlen;959;507;437
77 Reick;470;293;262
81 Südvorstadt-West;1510;795;724
82 Südvorstadt-Ost;504;206;190
83 Räcknitz/Zschertnitz;421;189;171
84 Kleinpestitz/Mockritz;251;137;118
85 Coschütz/Gittersee;196;96;82
86 Plauen;440;154;140
90 Cossebaude/Mobschatz/Oberw.;274;173;169
91 Cotta;725;411;362
92 Löbtau-Nord;877;496;407
93 Löbtau-Süd;1017;556;486
94 Naußlitz;484;273;214
95 Gorbitz-Süd;920;649;481
96 Gorbitz-Ost;539;371;279
97 Gorbitz-Nord/Neu-Omsewitz;784;482;410
98 Briesnitz;493;250;212
99 Altfranken/Gompitz;181;85;81
StB 0 Altstadt;11980;7270;6158
StB 1 Neustadt;7003;3546;2908
StB 2 Pieschen;3809;2079;1852
StB 3 Klotzsche/nördliche Ortschaften;1068;601;557
StB 4 Loschwitz/OS Schönfeld-Weißig;973;447;416
StB 5 Blasewitz;4005;1912;1639
StB 6 Leuben;1825;908;853
StB 7 Prohlis;3966;2293;1905
StB 8 Plauen;3322;1577;1425
StB 9 Cotta/westliche Ortschaften;6294;3746;3101
Insgesamt;48929;28370;16328
